0.0157	0.0
0.0332	0.0
0.0457	0.0
0.07	0.0
0.0831	0.0
0.0955	0.0
0.1198	0.0
0.1272	0.0
0.1442	0.0
0.1586	0.0
0.1818	0.0
0.2001	0.0
0.2032	0.0
0.2258	0.0
0.2452	0.0
0.265	0.0
0.2652	0.0
0.2856	0.0
0.2993	0.0
0.3153	0.0
0.329	0.0
0.3383	0.0
0.3557	0.0
0.3604	0.0
0.3861	0.0
0.3934	0.0
0.4126	0.0001
0.4073	0.0
0.4227	0.0
0.43	0.0
0.4528	0.0
0.4568	0.0
0.4663	0.0001
0.4895	0.0
0.4969	0.0
0.5065	0.0
0.5097	0.0
0.5246	0.0001
0.5362	0.0002
0.5489	0.0002
0.5468	0.0
0.5524	0.0003
0.557	0.0002
0.5705	0.0008
0.5712	0.0003
0.5877	0.0006
0.6003	0.0003
0.6031	0.0013
0.5937	0.0009
0.6208	0.0013
0.6187	0.001
0.6106	0.0007
0.633	0.0024
0.6277	0.0022
0.6437	0.004
0.6593	0.0035
0.6578	0.0043
0.6591	0.004
0.6667	0.0039
0.6641	0.0039
0.6619	0.0081
0.679	0.0069
0.6806	0.0114
0.689	0.0071
0.6801	0.0091
0.6899	0.0085
0.6957	0.0133
0.6906	0.0129
0.6984	0.013
0.7036	0.0121
0.705	0.0163
0.7124	0.0154
0.7058	0.0172
0.7005	0.0188
0.7089	0.0244
0.7172	0.0215
0.7188	0.025
0.7226	0.0242
0.7194	0.0278
0.7253	0.0361
0.7314	0.0274
0.7208	0.0343
0.7136	0.0375
0.7223	0.0345
0.7242	0.0377
0.7144	0.0475
0.7219	0.0494
0.7268	0.0423
0.7287	0.0486
0.7219	0.0545
0.7147	0.0594
0.729	0.0618
0.7172	0.0623
0.7203	0.0655
0.7215	0.0657
0.7238	0.0621
0.7231	0.0699
0.7217	0.0826
0.7229	0.0817
0.713	0.0853
0.7168	0.0847
0.7057	0.0902
0.7113	0.0879
0.7216	0.0929
0.7002	0.1125
0.7044	0.0999
0.7085	0.1093
0.7038	0.11
0.7034	0.1156
0.699	0.129
0.7076	0.1076
0.6959	0.1235
0.6899	0.1354
0.6998	0.1287
0.6905	0.1336
0.6935	0.133
0.6941	0.1357
0.6911	0.1426
0.6828	0.1549
0.6788	0.1566
0.6814	0.1504
0.6785	0.1531
0.6693	0.1666
0.6652	0.1709
0.6796	0.1707
0.6619	0.1835
0.664	0.1758
0.6692	0.1814
0.6502	0.1943
0.659	0.1954
0.649	0.2013
0.65	0.197
0.6483	0.2062
0.6426	0.2077
0.6397	0.2042
0.6378	0.209
0.6408	0.2094
0.6351	0.2176
0.6252	0.235
0.6301	0.2207
0.6201	0.2358
0.6165	0.2401
0.6304	0.2363
0.6121	0.2503
0.6111	0.2512
0.6125	0.2544
0.6137	0.2543
0.6056	0.2598
0.5995	0.266
0.6046	0.2604
0.5991	0.2708
0.5891	0.2805
0.5924	0.2793
0.5984	0.2767
0.5936	0.2826
0.5838	0.2869
0.5803	0.2893
0.5979	0.2716
0.5708	0.3
0.5724	0.3012
0.5691	0.3019
0.5724	0.3039
0.5733	0.3044
0.5701	0.3051
0.5635	0.3168
0.5637	0.3155
0.568	0.3176
0.5613	0.3211
0.5649	0.32
0.549	0.3309
0.5479	0.3346
0.5431	0.3411
0.5569	0.3274
0.5532	0.3315
0.5331	0.3522
0.5446	0.3407
0.529	0.3613
0.5289	0.3467
0.5427	0.3441
0.5274	0.3586
0.5341	0.3555
0.5266	0.3629
0.5248	0.3663
0.5417	0.3519
0.5081	0.3831
0.5301	0.3594
0.5235	0.3725
0.5151	0.3799
0.5129	0.3787
0.5283	0.3677
0.5056	0.3894
0.5099	0.3833
0.5016	0.3911
0.4966	0.3985
0.5022	0.3912
0.5029	0.3938
0.4834	0.4172
0.5061	0.3883
0.5065	0.3902
0.4868	0.4121
